# 90prime spectral response curves
# compiled by C. W. Engelbracht, March 2009
# filter: Washington M
# 3 (filter * Q.E.) response curves are listed:
#    blue (chips 1 and 4), broadband (chips 2 and 3),
#    and average [(blue + broadband) / 2)]
# wavelength (nm)        filter    filt.*blue    filt.*broadband       average
            629.2         0.019         0.015              0.017         0.016
            629.6         0.018         0.015              0.017         0.016
            630.0         0.017         0.014              0.016         0.015
            630.4         0.017         0.014              0.016         0.015
            630.8         0.016         0.013              0.015         0.014
            631.2         0.016         0.013              0.014         0.013
            631.6         0.015         0.012              0.014         0.013
            632.0         0.014         0.012              0.013         0.012
            632.4         0.014         0.011              0.013         0.012
            632.8         0.013         0.011              0.012         0.012
            633.2         0.013         0.010              0.012         0.011
            633.6         0.012         0.010              0.011         0.011
            634.0         0.012         0.010              0.011         0.010
            634.4         0.011         0.009              0.011         0.010
            634.8         0.011         0.009              0.010         0.009
            635.2         0.010         0.008              0.010         0.009
            635.6         0.010         0.008              0.009         0.009
            636.0         0.010         0.008              0.009         0.008
            636.4         0.009         0.008              0.009         0.008
            636.8         0.009         0.007              0.008         0.008
            637.2         0.009         0.007              0.008         0.007
            637.6         0.008         0.007              0.008         0.007
            638.0         0.008         0.006              0.007         0.007
            638.4         0.008         0.006              0.007         0.007
            638.8         0.007         0.006              0.007         0.006
            639.2         0.007         0.006              0.006         0.006
            639.6         0.007         0.005              0.006         0.006
            640.0         0.006         0.005              0.006         0.006
            640.4         0.006         0.005              0.006         0.005
            640.8         0.006         0.005              0.005         0.005
            641.2         0.006         0.005              0.005         0.005
            641.6         0.005         0.004              0.005         0.005
            642.0         0.005         0.004              0.005         0.004
            642.4         0.005         0.004              0.005         0.004
            642.8         0.005         0.004              0.004         0.004
            643.2         0.005         0.004              0.004         0.004
            643.6         0.004         0.003              0.004         0.004
            644.0         0.004         0.003              0.004         0.004
            644.4         0.004         0.003              0.004         0.003
            644.8         0.004         0.003              0.004         0.003
            645.2         0.004         0.003              0.003         0.003
            645.6         0.003         0.003              0.003         0.003
            646.0         0.003         0.003              0.003         0.003
            646.4         0.003         0.003              0.003         0.003
            646.8         0.003         0.002              0.003         0.003
            647.2         0.003         0.002              0.003         0.002
            647.6         0.003         0.002              0.003         0.002
            648.0         0.003         0.002              0.002         0.002
            648.4         0.002         0.002              0.002         0.002
            648.8         0.002         0.002              0.002         0.002
            649.2         0.002         0.002              0.002         0.002
            649.6         0.002         0.002              0.002         0.002
            650.0         0.002         0.002              0.002         0.002
            650.4         0.002         0.002              0.002         0.002
            650.8         0.002         0.002              0.002         0.002
            651.2         0.002         0.001              0.002         0.002
            651.6         0.002         0.001              0.002         0.001
            652.0         0.002         0.001              0.002         0.001
            652.4         0.002         0.001              0.001         0.001
            652.8         0.001         0.001              0.001         0.001
